timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_time,end_time,include_exceptions,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence,direction_name,show_trip_continuation
121,13,0,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,13_9AB,1,nga Depo Ujit A deri ne Uzina Dinamo,0
122,13,1,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,13_9AB,2,nga Uzina Dinamo deri ne Depo Ujit A,0
123,13,0,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,13_9AB,3,nga Depo Ujit A deri ne Uzina Dinamo,0
124,13,1,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,13_9AB,4,nga Uzina Dinamo deri ne Depo Ujit A,0
125,13,0,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,13_9AB,5,nga Depo Ujit A deri ne Uzina Dinamo,0
126,13,1,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,13_9AB,6,nga Uzina Dinamo deri ne Depo Ujit A,0
127,14,0,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,14_9AB,1,nga Binak Alia deri ne Uzina Dinamo,0
128,14,1,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,14_9AB,2,nga Uzina Dinamo deri ne Binak Alia,0
129,14,0,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,14_9AB,3,nga Binak Alia deri ne Uzina Dinamo,0
130,14,1,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,14_9AB,4,nga Uzina Dinamo deri ne Binak Alia,0
131,14,0,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,14_9AB,5,nga Binak Alia deri ne Uzina Dinamo,0
132,14,1,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,14_9AB,6,nga Uzina Dinamo deri ne Binak Alia,0
133,15,0,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,15_,1,nga Depo Ujit B deri ne Dollari B,0
134,15,1,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,15_,2,nga Dollari B deri ne Depo Ujit B,0
135,15,0,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,15_,3,nga Depo Ujit B deri ne Dollari B,0
136,15,1,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,15_,4,nga Dollari B deri ne Depo Ujit B,0
137,15,0,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,15_,5,nga Depo Ujit B deri ne Dollari B,0
138,15,1,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,15_,6,nga Dollari B deri ne Depo Ujit B,0
139,16,0,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,16_,1,nga Çollakët deri ne Dollari B,0
140,16,1,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,16_,2,nga Dollari B deri ne Çollakët,0
141,16,0,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,16_,3,nga Çollakët deri ne Dollari B,0
142,16,1,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,16_,4,nga Dollari B deri ne Çollakët,0
143,16,0,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,16_,5,nga Çollakët deri ne Dollari B,0
144,16,1,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,16_,6,nga Dollari B deri ne Çollakët,0
145,17,0,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,17_,1,nga Shkozë deri ne Dhora Leka,0
146,17,1,20260101,20260630,t,t,t,t,t,t,t,"","",0,nga janari deri në qershor,"",horizontal,17_,2,nga Dhora Leka deri ne Shkozë,0
147,17,0,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,17_,3,nga Shkozë deri ne Dhora Leka,0
148,17,1,20260701,20260831,t,t,t,t,t,t,t,"","",0,korrik dhe gusht,"",horizontal,17_,4,nga Dhora Leka deri ne Shkozë,0
149,17,0,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,17_,5,nga Shkozë deri ne Dhora Leka,0
150,17,1,20260901,20261231,t,t,t,t,t,t,t,"","",0,nga shtator deri në dhjetor,"",horizontal,17_,6,nga Dhora Leka deri ne Shkozë,0
151,18,0,20260101,20260630,f,f,f,f,f,t,f,"","",0,nga janari deri në qershor,"",horizontal,18_16B,1,nga Thesari deri ne Biblioteka,0
152,18,0,20260101,20260630,t,t,t,t,t,f,f,"","",0,nga janari deri në qershor,"",horizontal,18_16B,2,nga Thesari deri ne Biblioteka,0
153,18,0,20260101,20260630,f,f,f,f,f,f,t,"","",0,nga janari deri në qershor,"",horizontal,18_16B,3,nga Thesari deri ne Biblioteka,0
154,18,1,20260101,20260630,f,f,f,f,f,t,f,"","",0,nga janari deri në qershor,"",horizontal,18_16B,4,nga Biblioteka deri ne Thesari,0
155,18,1,20260101,20260630,t,t,t,t,t,f,f,"","",0,nga janari deri në qershor,"",horizontal,18_16B,5,nga Biblioteka deri ne Thesari,0
156,18,1,20260101,20260630,f,f,f,f,f,f,t,"","",0,nga janari deri në qershor,"",horizontal,18_16B,6,nga Biblioteka deri ne Thesari,0
157,18,0,20260701,20260731,f,f,f,f,f,t,f,"","",0,korrik,"",horizontal,18_16B,7,nga Thesari deri ne Biblioteka,0
158,18,0,20260701,20260731,t,t,t,t,t,f,f,"","",0,korrik,"",horizontal,18_16B,8,nga Thesari deri ne Biblioteka,0
159,18,0,20260701,20260731,f,f,f,f,f,f,t,"","",0,korrik,"",horizontal,18_16B,9,nga Thesari deri ne Biblioteka,0
160,18,1,20260701,20260731,f,f,f,f,f,t,f,"","",0,korrik,"",horizontal,18_16B,10,nga Biblioteka deri ne Thesari,0
161,18,1,20260701,20260731,t,t,t,t,t,f,f,"","",0,korrik,"",horizontal,18_16B,11,nga Biblioteka deri ne Thesari,0
162,18,1,20260701,20260731,f,f,f,f,f,f,t,"","",0,korrik,"",horizontal,18_16B,12,nga Biblioteka deri ne Thesari,0
163,18,0,20260801,20260831,f,f,f,f,f,t,f,"","",0,gusht,"",horizontal,18_16B,13,nga Thesari deri ne Biblioteka,0
164,18,0,20260801,20260831,t,t,t,t,t,f,f,"","",0,gusht,"",horizontal,18_16B,14,nga Thesari deri ne Biblioteka,0
165,18,0,20260801,20260831,f,f,f,f,f,f,t,"","",0,gusht,"",horizontal,18_16B,15,nga Thesari deri ne Biblioteka,0
